feature,importance
model_confidence,0.18494059427768875
account_age_days,0.16682821818379054
content_velocity,0.1384684278839154
user_reports_24h,0.12153986126444749
prior_violations,0.11491948993258447
engagement_spike_ratio,0.06553319871424546
cross_border_content_no,0.03559685780142955
cross_border_content_yes,0.03365340065385394
region_risk_band_high,0.029532209428469014
content_type_multimodal,0.024578929637435756
region_risk_band_low,0.023076587696473416
appeal_history_none,0.014267551593899681
content_type_text,0.009802560221490597
region_risk_band_medium,0.009537365923662956
appeal_history_frequent,0.009482919182038804
appeal_history_some,0.0071341412058375546
content_type_image,0.00563437596480219
content_type_video,0.005473310433934456
