content_velocity,user_reports_24h,prior_violations,model_confidence,account_age_days,engagement_spike_ratio,cross_border_content,content_type,region_risk_band,appeal_history,escalation_required
37.65,2,1,0.68,485.6,2.085,no,video,low,some,0
51.04,3,1,0.704,2382.2,0.829,no,text,high,none,0
33.07,0,2,0.8,1055.9,1.771,yes,text,medium,none,0
29.61,5,0,0.605,861.1,2.071,no,multimodal,medium,none,1
55.43,2,2,0.46,159.2,1.005,no,text,high,none,0
31.56,1,1,0.738,1542.4,1.583,no,text,low,none,0
42.23,5,1,0.569,959.5,2.14,yes,text,medium,none,1
39.41,4,1,0.586,554.7,1.465,no,image,medium,none,0
55.39,3,1,0.657,437.0,1.743,no,image,high,none,0
25.91,4,4,0.62,506.2,0.463,no,multimodal,medium,none,1
68.32,4,1,0.858,401.2,1.649,no,video,low,none,0
21.11,1,2,0.653,626.0,1.609,no,text,low,frequent,0
44.15,10,1,0.866,370.9,0.687,no,text,low,none,1
40.65,3,3,0.713,382.2,0.868,yes,multimodal,high,some,1
19.6,3,2,0.666,1070.0,1.652,yes,text,low,none,0
46.71,6,2,0.705,799.9,1.199,yes,text,medium,none,1
27.43,2,3,0.473,493.8,1.906,no,text,low,some,1
14.63,5,0,0.734,474.8,1.505,no,multimodal,medium,some,0
50.8,1,2,0.816,1057.1,1.378,no,video,low,some,0
10.18,3,1,0.839,1240.5,1.265,no,image,medium,none,0
17.04,4,0,0.464,442.5,1.496,no,text,low,none,0
32.79,3,3,0.437,1002.3,1.751,yes,multimodal,low,none,1
55.15,2,1,0.594,705.7,1.617,no,text,low,none,0
48.7,2,1,0.902,59.5,1.138,no,image,high,frequent,1
37.23,3,0,0.715,157.4,1.97,no,multimodal,medium,none,0
7.28,1,2,0.556,117.3,1.679,no,text,medium,none,0
20.34,1,1,0.448,373.5,1.543,no,image,high,none,0
24.05,4,2,0.571,341.9,1.396,no,video,medium,none,0
14.04,3,1,0.56,698.5,1.6,no,video,medium,none,0
5.42,3,1,0.83,931.1,0.434,no,image,medium,none,0
33.94,2,2,0.842,625.3,1.471,no,image,low,frequent,1
49.75,3,1,0.512,440.5,2.17,yes,image,low,none,1
22.6,5,2,0.801,99.4,1.46,no,image,high,none,1
54.68,2,2,0.784,746.7,1.392,no,image,low,none,0
9.05,2,0,0.491,829.6,1.052,yes,text,low,none,0
13.3,1,0,0.667,167.1,1.596,no,text,medium,none,0
33.43,3,1,0.735,633.9,1.252,no,image,low,some,0
21.13,5,1,0.706,216.8,2.005,yes,image,medium,none,1
47.01,6,1,0.406,600.4,0.918,no,video,medium,none,1
41.92,6,1,0.701,1187.3,1.124,yes,video,low,some,0
22.33,2,1,0.782,1070.1,1.05,no,multimodal,low,none,0
9.91,1,1,0.933,1661.9,2.267,no,video,low,none,0
20.36,2,1,0.573,601.1,1.255,yes,video,medium,none,0
42.62,5,1,0.593,129.1,1.076,yes,text,high,none,1
48.27,3,0,0.647,581.1,0.305,no,multimodal,medium,none,0
21.2,3,0,0.727,820.3,0.894,no,image,low,frequent,0
5.39,1,0,0.696,461.6,1.614,no,multimodal,low,some,0
8.57,4,2,0.777,1059.4,1.612,no,multimodal,medium,none,0
40.28,5,2,0.5,711.6,1.024,yes,text,medium,some,1
22.04,1,2,0.743,87.3,1.052,no,multimodal,low,none,0
22.46,2,1,0.561,531.8,2.28,no,video,low,some,0
13.11,2,3,0.657,1083.9,2.698,no,video,low,none,0
12.9,0,1,0.953,1786.0,1.925,no,image,low,none,0
54.07,3,1,0.456,231.2,2.13,no,image,medium,some,1
41.27,2,1,0.635,1035.4,2.236,no,multimodal,high,none,1
18.2,5,0,0.476,593.5,2.457,no,text,low,frequent,0
31.71,6,0,0.704,195.6,1.199,yes,video,medium,none,1
35.74,4,0,0.848,212.0,0.911,yes,text,low,frequent,1
84.74,1,2,0.707,239.3,2.267,no,text,low,none,1
11.95,1,2,0.661,140.5,0.868,no,video,low,none,0
35.41,1,1,0.893,178.9,0.836,no,multimodal,low,none,0
53.89,1,0,0.733,611.4,0.847,yes,multimodal,low,none,0
78.47,7,2,0.811,85.1,1.284,yes,video,medium,none,1
17.45,3,1,0.794,279.5,0.358,no,video,medium,some,0
21.82,0,1,0.22,430.2,0.633,no,multimodal,medium,some,0
47.31,3,1,0.668,281.0,1.039,yes,video,medium,none,1
7.16,4,1,0.508,159.4,0.752,yes,video,low,none,0
37.89,1,0,0.547,579.0,1.881,no,multimodal,low,none,0
104.43,5,1,0.916,275.9,1.353,yes,multimodal,low,some,1
40.7,6,2,0.62,295.6,1.639,no,multimodal,low,frequent,1
2.72,3,2,0.983,512.6,1.584,no,video,low,none,1
14.8,4,2,0.455,900.0,1.247,yes,video,high,none,1
17.91,2,0,0.507,337.1,1.844,no,video,high,none,0
62.21,6,0,0.802,352.1,1.576,yes,video,medium,none,1
26.46,2,2,0.625,188.4,1.191,no,video,medium,none,0
5.49,1,1,0.729,1075.4,0.508,no,text,medium,none,0
28.77,4,3,0.662,586.8,1.61,no,text,medium,some,0
33.13,2,0,0.657,1028.5,0.719,yes,image,medium,none,0
19.83,2,0,0.631,1145.5,1.54,yes,text,low,none,0
12.7,3,0,0.709,333.2,1.389,no,image,high,none,0
111.62,3,1,0.783,975.2,0.67,no,text,medium,none,0
54.01,3,1,0.938,631.4,1.479,no,text,low,some,0
57.27,3,1,0.648,359.0,1.446,no,multimodal,medium,frequent,1
26.51,3,1,0.617,313.1,1.447,yes,video,medium,none,0
17.21,4,3,0.596,574.4,1.423,no,multimodal,high,none,0
20.62,3,4,0.915,681.3,1.024,no,text,low,some,1
9.02,3,1,0.79,61.5,1.646,yes,text,medium,some,0
83.69,4,1,0.376,403.1,1.006,no,text,low,some,0
27.33,3,1,0.369,660.0,0.813,no,text,low,none,0
71.73,3,2,0.547,778.3,1.687,no,text,low,none,0
21.43,5,0,0.717,509.6,1.818,no,video,low,none,0
